Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1500,1500,950,750,1400,1000
painting_2,sold,Mimic-Llama,2900,1800,1000,2900,2800,1200
painting_3,sold,Math-T5,1700,1700,1300,1000,1600,1400
painting_4,sold,Mimic-Llama,2400,2000,1400,2400,2300,1000
painting_5,sold,Math-T5,2000,2000,1400,750,1900,1100
painting_6,sold,Mimic-Llama,4250,3500,2400,4250,3750,2000
painting_7,sold,Math-T5,3850,3850,3100,150,3600,2600
painting_8,sold,Mimic-GPT-5.4,5250,,5250,350,5000,2900
painting_9,sold,Mimic-Opus,4750,,4500,200,4750,800
painting_10,sold,Mimic-Pro,4750,,4500,400,3500,4750
painting_11,sold,Mimic-Pro,5250,,4250,350,5000,5250
painting_12,sold,Mimic-Opus,2900,,2800,400,2900,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,950,9050,0.905,12,12,0,3458.333
Mimic-GPT-5.4,1,4750,5250,0.525,12,12,0,3458.333
Mimic-Llama,3,450,9550,0.955,12,12,0,3458.333
Mimic-Opus,2,2350,7650,0.765,12,12,0,3458.333
Mimic-Pro,2,0,10000,1.0,12,12,0,3458.333